,tile_id,Region,GroundTruth,ClassifierConf
ESP_011296_0975_0,APF00006ox,Wellington,1.0,0.9999194145202637
ESP_011296_0975_1,APF00006ms,Wellington,1.0,0.99989914894104
ESP_011296_0975_2,APF00006oe,Wellington,1.0,0.9997277855873108
ESP_011296_0975_3,APF00006mk,Wellington,1.0,0.9999411106109619
ESP_011296_0975_4,APF00006ov,Wellington,1.0,0.9891189336776733
ESP_011296_0975_5,APF00006nc,Wellington,1.0,0.9997634291648865
ESP_011296_0975_6,APF00006oc,Wellington,1.0,0.9951989054679871
ESP_011296_0975_7,APF00006oj,Wellington,1.0,0.9999805688858032
ESP_011296_0975_8,APF00006o4,Wellington,1.0,0.9999923706054688
ESP_011296_0975_9,APF00006o2,Wellington,1.0,0.9999988079071045
ESP_011296_0975_10,APF00006mq,Wellington,1.0,0.9999958276748657
ESP_011296_0975_11,APF00006on,Wellington,1.0,0.9999819993972778
ESP_011296_0975_12,APF00006or,Wellington,1.0,0.9999961853027344
ESP_011296_0975_13,APF00006ol,Wellington,1.0,0.9999955892562866
ESP_011296_0975_14,APF00006mo,Wellington,1.0,0.9997356534004211
ESP_011296_0975_15,APF00006nu,Wellington,1.0,0.9999873638153076
ESP_011296_0975_16,APF00006nb,Wellington,1.0,0.9998410940170288
ESP_011296_0975_17,APF00006o5,Wellington,1.0,0.9994331002235413
ESP_011296_0975_18,APF00006n0,Wellington,1.0,0.9995734095573425
ESP_011296_0975_19,APF00006oo,Wellington,1.0,0.999447762966156
ESP_011296_0975_20,APF00006nd,Wellington,1.0,0.9995675683021545
ESP_011296_0975_21,APF00006od,Wellington,1.0,0.9988507032394409
ESP_011296_0975_22,APF00006og,Wellington,1.0,0.998878538608551
ESP_011296_0975_23,APF00006nq,Wellington,1.0,0.9993302822113037
ESP_011296_0975_24,APF00006ot,Wellington,1.0,0.9995580315589905
ESP_011296_0975_25,APF00006n9,Wellington,1.0,0.9983609318733215
ESP_011296_0975_26,APF00006o6,Wellington,1.0,0.9981794357299805
ESP_011296_0975_27,APF00006n2,Wellington,1.0,0.9975942969322205
ESP_011296_0975_28,APF00006n8,Wellington,1.0,0.9987298846244812
ESP_011296_0975_29,APF00006nt,Wellington,1.0,0.9981698989868164
ESP_011296_0975_30,APF00006mv,Wellington,1.0,0.9958629608154297
ESP_011296_0975_31,APF00006o3,Wellington,1.0,0.9980428218841553
