,tile_id,Region,GroundTruth,ClassifierConf
ESP_011296_0975_0,APF00006ox,Wellington,1.0,0.9999922513961792
ESP_011296_0975_1,APF00006ms,Wellington,1.0,0.9997772574424744
ESP_011296_0975_2,APF00006oe,Wellington,1.0,0.9996439218521118
ESP_011296_0975_3,APF00006mk,Wellington,1.0,0.9999884366989136
ESP_011296_0975_4,APF00006ov,Wellington,1.0,0.9903810620307922
ESP_011296_0975_5,APF00006nc,Wellington,1.0,0.9996340274810791
ESP_011296_0975_6,APF00006oc,Wellington,1.0,0.9992501139640808
ESP_011296_0975_7,APF00006oj,Wellington,1.0,0.9997918009757996
ESP_011296_0975_8,APF00006o4,Wellington,1.0,0.9999589920043945
ESP_011296_0975_9,APF00006o2,Wellington,1.0,0.9999953508377075
ESP_011296_0975_10,APF00006mq,Wellington,1.0,0.9999895095825195
ESP_011296_0975_11,APF00006on,Wellington,1.0,0.9999833106994629
ESP_011296_0975_12,APF00006or,Wellington,1.0,0.9999994039535522
ESP_011296_0975_13,APF00006ol,Wellington,1.0,0.9999948740005493
ESP_011296_0975_14,APF00006mo,Wellington,1.0,0.9999860525131226
ESP_011296_0975_15,APF00006nu,Wellington,1.0,1.0
ESP_011296_0975_16,APF00006nb,Wellington,1.0,0.9999969005584717
ESP_011296_0975_17,APF00006o5,Wellington,1.0,0.9999998807907104
ESP_011296_0975_18,APF00006n0,Wellington,1.0,0.9999998807907104
ESP_011296_0975_19,APF00006oo,Wellington,1.0,1.0
ESP_011296_0975_20,APF00006nd,Wellington,1.0,0.9999997615814209
ESP_011296_0975_21,APF00006od,Wellington,1.0,0.999997615814209
ESP_011296_0975_22,APF00006og,Wellington,1.0,0.9999995231628418
ESP_011296_0975_23,APF00006nq,Wellington,1.0,0.9999997615814209
ESP_011296_0975_24,APF00006ot,Wellington,1.0,0.9999998807907104
ESP_011296_0975_25,APF00006n9,Wellington,1.0,0.9999992847442627
ESP_011296_0975_26,APF00006o6,Wellington,1.0,0.9999995231628418
ESP_011296_0975_27,APF00006n2,Wellington,1.0,0.9999995231628418
ESP_011296_0975_28,APF00006n8,Wellington,1.0,1.0
ESP_011296_0975_29,APF00006nt,Wellington,1.0,0.9999994039535522
ESP_011296_0975_30,APF00006mv,Wellington,1.0,0.9999992847442627
ESP_011296_0975_31,APF00006o3,Wellington,1.0,0.9999992847442627
ESP_011296_0975_32,APF00006nm,Wellington,1.0,0.9999954700469971
ESP_011296_0975_33,APF00006mx,Wellington,1.0,0.9999974966049194
ESP_011296_0975_34,APF00006n1,Wellington,1.0,0.9999991655349731
ESP_011296_0975_35,APF00006mm,Wellington,1.0,0.9999983310699463
ESP_011296_0975_36,APF00006mz,Wellington,1.0,0.9999951124191284
ESP_011296_0975_37,APF00006nn,Wellington,1.0,0.9999998807907104
ESP_011296_0975_38,APF00006n4,Wellington,1.0,1.0
ESP_011296_0975_39,APF00006nl,Wellington,1.0,1.0
ESP_011296_0975_40,APF00006nv,Wellington,1.0,1.0
ESP_011296_0975_41,APF00006nh,Wellington,1.0,1.0
ESP_011296_0975_42,APF00006mt,Wellington,1.0,1.0
ESP_011296_0975_43,APF00006ok,Wellington,1.0,1.0
ESP_011296_0975_44,APF00006mr,Wellington,1.0,1.0
ESP_011296_0975_45,APF00006op,Wellington,1.0,1.0
ESP_011296_0975_46,APF00006nw,Wellington,1.0,1.0
ESP_011296_0975_47,APF00006n6,Wellington,1.0,1.0
ESP_011296_0975_48,APF00006nj,Wellington,1.0,1.0
ESP_011296_0975_49,APF00006mg,Wellington,1.0,1.0
ESP_011296_0975_50,APF00006nk,Wellington,1.0,1.0
ESP_011296_0975_51,APF00006o1,Wellington,1.0,1.0
ESP_011296_0975_52,APF00006o7,Wellington,1.0,1.0
ESP_011296_0975_53,APF00006no,Wellington,1.0,0.9999996423721313
ESP_011296_0975_54,APF00006np,Wellington,1.0,0.9999997615814209
ESP_011296_0975_55,APF00006ne,Wellington,1.0,1.0
ESP_011296_0975_56,APF00006nf,Wellington,1.0,0.9999998807907104
ESP_011296_0975_57,APF00006ns,Wellington,1.0,0.9999994039535522
ESP_011296_0975_58,APF00006mu,Wellington,1.0,0.9999998807907104
ESP_011296_0975_59,APF00006nx,Wellington,1.0,0.9999996423721313
ESP_011296_0975_60,APF00006ml,Wellington,1.0,0.9999991655349731
ESP_011296_0975_61,APF00006oa,Wellington,1.0,0.9999998807907104
ESP_011296_0975_62,APF00006mf,Wellington,1.0,0.9999945163726807
ESP_011296_0975_63,APF00006of,Wellington,1.0,0.9999991655349731
ESP_011296_0975_64,APF00006ng,Wellington,1.0,0.9999942779541016
ESP_011296_0975_65,APF00006o8,Wellington,1.0,0.9999953508377075
ESP_011296_0975_66,APF00006o0,Wellington,1.0,0.9999867677688599
ESP_011296_0975_67,APF00006ou,Wellington,1.0,0.99997878074646
ESP_011296_0975_68,APF00006oi,Wellington,1.0,0.9999682903289795
ESP_011296_0975_69,APF00006o9,Wellington,1.0,0.9999858140945435
ESP_011296_0975_70,APF00006n7,Wellington,1.0,0.9999748468399048
ESP_011296_0975_71,APF00006mh,Wellington,1.0,0.9999871253967285
ESP_011296_0975_72,APF00006my,Wellington,1.0,0.9999972581863403
ESP_011296_0975_73,APF00006ny,Wellington,1.0,0.9999963045120239
ESP_011296_0975_74,APF00006om,Wellington,1.0,0.9999736547470093
ESP_011296_0975_75,APF00006ob,Wellington,1.0,0.9999814033508301
ESP_011296_0975_76,APF00006mn,Wellington,1.0,0.9999722242355347
ESP_011296_0975_77,APF00006nz,Wellington,1.0,0.9999667406082153
ESP_011296_0975_78,APF00006mp,Wellington,1.0,0.9999942779541016
ESP_011296_0975_79,APF00006ow,Wellington,1.0,0.9999886751174927
ESP_011296_0975_80,APF00006oh,Wellington,1.0,0.9999620914459229
ESP_011296_0975_81,APF00006ni,Wellington,1.0,0.99982088804245
ESP_011296_0975_82,APF00006os,Wellington,1.0,0.9999886751174927
ESP_011296_0975_83,APF00006mj,Wellington,1.0,0.9999749660491943
ESP_011296_0975_84,APF00006n5,Wellington,1.0,0.999935507774353
ESP_011296_0975_85,APF00006nr,Wellington,1.0,0.999923586845398
ESP_011296_0975_86,APF00006mi,Wellington,1.0,0.9999206066131592
ESP_011296_0975_87,APF00006na,Wellington,1.0,0.9999397993087769
ESP_011296_0975_88,APF00006oq,Wellington,1.0,0.9999452829360962
ESP_011296_0975_89,APF00006mw,Wellington,1.0,0.999993085861206
ESP_011296_0975_90,APF00006n3,Wellington,1.0,0.9999798536300659
ESP_012008_0975_0,APF00006ys,Wellington,1.0,0.9948701858520508
ESP_012008_0975_1,APF00006qg,Wellington,1.0,0.9210708737373352
ESP_012008_0975_2,APF00006wy,Wellington,1.0,0.9989191293716431
ESP_012008_0975_3,APF00006ph,Wellington,1.0,0.9956564903259277
ESP_012008_0975_4,APF00006yl,Wellington,1.0,0.8123791217803955
ESP_012008_0975_5,APF00006s9,Wellington,1.0,0.9966623783111572
ESP_012008_0975_6,APF00006wn,Wellington,1.0,0.9965207576751709
ESP_012008_0975_7,APF00006x7,Wellington,1.0,0.9995829463005066
ESP_012008_0975_8,APF00006va,Wellington,1.0,0.999046266078949
ESP_012008_0975_9,APF00006v0,Wellington,1.0,0.9997308850288391
ESP_012008_0975_10,APF00006pz,Wellington,1.0,0.9997156262397766
ESP_012008_0975_11,APF00006xf,Wellington,1.0,0.9821252822875977
ESP_012008_0975_12,APF00006y3,Wellington,1.0,0.9754437208175659
ESP_012008_0975_13,APF00006x9,Wellington,1.0,0.9994274377822876
ESP_012008_0975_14,APF00006ps,Wellington,1.0,0.9997565150260925
ESP_012008_0975_15,APF00006ub,Wellington,1.0,0.9999430179595947
ESP_012008_0975_16,APF00006s8,Wellington,1.0,0.9998596906661987
ESP_012008_0975_17,APF00006vi,Wellington,1.0,0.9999735355377197
ESP_012008_0975_18,APF00006r5,Wellington,1.0,0.9999433755874634
ESP_012008_0975_19,APF00006xi,Wellington,1.0,0.9999005794525146
ESP_012008_0975_20,APF00006sf,Wellington,1.0,0.9999369382858276
ESP_012008_0975_21,APF00006wu,Wellington,1.0,0.9998974800109863
ESP_012008_0975_22,APF00006x2,Wellington,1.0,0.9999352693557739
ESP_012008_0975_23,APF00006tz,Wellington,1.0,0.999895453453064
ESP_012008_0975_24,APF00006ye,Wellington,1.0,0.9999377727508545
ESP_012008_0975_25,APF00006s2,Wellington,1.0,0.9999527931213379
ESP_012008_0975_26,APF00006vl,Wellington,1.0,0.9992861151695251
ESP_012008_0975_27,APF00006r9,Wellington,1.0,0.9996278285980225
ESP_012008_0975_28,APF00006rx,Wellington,1.0,0.9997420907020569
ESP_012008_0975_29,APF00006u8,Wellington,1.0,0.9999632835388184
ESP_012008_0975_30,APF00006qs,Wellington,1.0,0.9999315738677979
ESP_012008_0975_31,APF00006v8,Wellington,1.0,0.9999749660491943
ESP_012008_0975_32,APF00006tm,Wellington,1.0,0.999955415725708
ESP_012008_0975_33,APF00006qu,Wellington,1.0,0.9998801946640015
ESP_012008_0975_34,APF00006r6,Wellington,1.0,0.999658465385437
ESP_012008_0975_35,APF00006pl,Wellington,1.0,0.9998955726623535
ESP_012008_0975_36,APF00006qw,Wellington,1.0,0.9999638795852661
ESP_012008_0975_37,APF00006tq,Wellington,1.0,0.9999494552612305
ESP_012008_0975_38,APF00006rk,Wellington,1.0,0.9998610019683838
ESP_012008_0975_39,APF00006td,Wellington,1.0,0.9997872710227966
ESP_012008_0975_40,APF00006ud,Wellington,1.0,0.9999508857727051
ESP_012008_0975_41,APF00006t5,Wellington,1.0,0.9998359680175781
ESP_012008_0975_42,APF00006ql,Wellington,1.0,0.9998866319656372
ESP_012008_0975_43,APF00006x8,Wellington,1.0,0.9998148083686829
ESP_012008_0975_44,APF00006q2,Wellington,1.0,0.9997860789299011
ESP_012008_0975_45,APF00006xs,Wellington,1.0,0.9999428987503052
ESP_012008_0975_46,APF00006uf,Wellington,1.0,0.9999767541885376
ESP_012008_0975_47,APF00006rp,Wellington,1.0,0.9998284578323364
